action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
-0.4762041677741751,0.32124598280048455,-0.397836074379534,-0.360956534246608,0.32270698046403656,-0.3868400463063642,-0.4708145910440167,0.32123554573155766,-0.3979072838130154,-0.36614908075750885,0.3240895604842964,-0.38771166373481025
-0.4815928020265375,0.32125664676221427,-0.39776303235033805,-0.355705239953085,0.3226814288437873,-0.387052959021815,-0.4654241067426471,0.321225387915311,-0.39797667810407467,-0.3711421710414918,0.3281802457318281,-0.3907468087573208
-0.48698047634781133,0.3212675899766243,-0.39768817517872,-0.35045132766568404,0.32265599939658574,-0.3872640391415512,-0.4600327323233591,0.32121547444515974,-0.39804422234612685,-0.3757534007384309,0.3349624381254454,-0.3959210991242458
-0.4923671558314115,0.32127876008383704,-0.3976114679580948,-0.3451948322909902,0.32263069212243184,-0.3874732517589878,-0.45464048523944506,0.3212058227743962,-0.398109951445757,-0.3798156894790327,0.3444097308335655,-0.40318936571454356
-0.49775282302404555,0.3212902094437301,-0.39753294559504765,-0.33993577128229574,0.32260548956803303,-0.38768059687412465,-0.4492473829441975,0.32119641544972793,-0.3981738479496725,-0.38317679219264583,0.3564862049801824,-0.41248647284052953
-0.5031374604724209,0.321301885696426,-0.3974525906362858,-0.3346741620928936,0.3225804266399744,-0.387886109393547,-0.44385347779749407,0.32118728737774,-0.3982359118578734,-0.385698705695315,0.37114662163108436,-0.423728574884938
-0.508521050723245,0.32131382374850964,-0.39737040308180943,-0.32941002217607585,0.32255550333825594,-0.38808975441066973,-0.4384587697993347,0.3211784036518474,-0.39829616062365225,-0.38725723235746845,0.38833673595311946,-0.43681459983078597
-0.513903558869933,0.3213260061466885,-0.39728640038491086,-0.32414336898513535,0.3225307022095851,-0.3882915493787853,-0.433063276403012,0.32116979917863503,-0.3983545767937165,-0.3877413343320941,0.40799355901358314,-0.451627785151115
-0.5192849500058996,0.3213384328909627,-0.3972005476390053,-0.318874237426657,0.3225060232539619,-0.38849149429789376,-0.4276670325151109,0.321161439051518,-0.3984111603680661,-0.3870527146757197,0.4300454450466811,-0.46803761512446096
-0.5246652415844374,0.3213511214346247,-0.3971128797506777,-0.3136026275006408,0.3224815013779714,-0.3886895717147026,-0.4222700730422164,0.3211533407237887,-0.3984659287999937,-0.3851051715765894,0.45441210890682154,-0.48590156616410607
-0.5300443637923765,0.3213640368710895,-0.3970233792666354,-0.3083285741136718,0.3224571016750285,-0.38888581653579685,-0.4168723979843287,0.3211455041954473,-0.39851886463620667,-0.3818242318355204,0.48100445153569027,-0.5050670964934258
-0.5354223166297167,0.3213771966536495,-0.39693202873358596,-0.30305209471904254,0.3224328415984258,-0.38908019385459147,-0.4114740597013252,0.32113794691978614,-0.39856996787670507,-0.3771465574539578,0.5097240712700597,-0.5253734961948968
-0.5407990826431656,0.3213906182355974,-0.39683886305811455,-0.297773224223338,0.3224087211481632,-0.389272721124379,-0.4060750581932059,0.32113065144351277,-0.39861925597478143,-0.3710195442082467,0.5404626704298436,-0.5466538070722731
-0.5461746094728456,0.32140426671034794,-0.3967438647869285,-0.2924919451732658,0.3223847577775333,-0.3894634157984519,-0.4006754109132634,0.32112360031333476,-0.39866671147714317,-0.3634009027706111,0.5731010604804234,-0.5687365156199613
-0.551548914572049,0.32141815953119385,-0.3966470339200278,-0.28720830992870333,0.3223609514865361,-0.3896522429702251,-0.39527517022137526,0.32111682843583705,-0.3987123343837903,-0.35425820492354904,0.6075080101153416,-0.5914473332588571
-0.5569219455808987,0.32143227924484247,-0.39654838791070507,-0.28192233594294325,0.32233726736858653,-0.3898392200929913,-0.3898743361175414,0.321110318357727,-0.39875614214801536,-0.34356856940056685,0.6435387966330228,-0.6146108718524279
-0.5622937024993943,0.32144664330458633,-0.39644789185237533,-0.276634040669278,0.3223137577835622,-0.39002434716675033,-0.3844729435083469,0.3211040875322974,-0.3987981173165258,-0.33131827791374385,0.6810336525937394,-0.6380521272365759
-0.5676641329676584,0.3214612517104256,-0.39634556319833086,-0.2713434415610001,0.322290387824878,-0.39020764164479477,-0.3790710098470843,0.32109811850625564,-0.39883825988932164,-0.31750244354117446,0.7198160903035299,-0.6615979802027959
-0.573033236985691,0.32147608700906755,-0.3962414019485719,-0.2660505560714021,0.32226719239911894,-0.39038906862053957,-0.37366857004033865,0.3210924112796016,-0.3988765873196955,-0.3021248187407504,0.7596913135645789,-0.6850787149346241
-0.578400979646907,0.3214911492005122,-0.3961354081030982,-0.26075541910706906,0.32224413659970014,-0.39056864554727727,-0.3682656415414024,0.3210869833056279,-0.39891308215435467,-0.2851973764711406,0.8004446817854765,-0.7083293803644545
-0.583767343498014,0.3215064557380522,-0.39602758166191,-0.2554580306680009,0.3222212553332065,-0.39074638987830035,-0.3628622418035681,0.32108179967774947,-0.3989477618465918,-0.2667401531121576,0.8418406453303733,-0.7311910991704778
-0.5891323110857194,0.3215219891683949,-0.39591792262500725,-0.2501584431140752,0.32219853114634556,-0.3909222841603164,-0.35745838828012827,0.3210769127558439,-0.3989806089431143,-0.24678100411866344,0.8836222044669131,-0.7535124640400837
-0.5944958475034381,0.32153774949154046,-0.39580644844568236,-0.2448566389919995,0.3221759814924097,-0.39109632839332525,-0.35205413333096053,0.32107228763332607,-0.3990116234439223,-0.2253553247678885,0.9255109617261105,-0.7751508117602139
