Fitt,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.9242105260185253,29.0,0.001,1.0,0.103239683397313,33.0,4.0,0.07235795061380748,28.0,0.0,0.0,35.0,5.0,0.13632832600724018,23.0,5.0,0.12194716665754313,35.0,3.0
0.9300509292464102,38.0,0.001,1.0,0.10217664990749813,19.0,6.0,0.16507482117090794,34.0,7.0,0.011031841175457531,35.0,5.0,0.3,20.0,6.0,0.12856980858742886,6.0,7.0
0.9320203575502025,34.0,0.001,1.0,0.14222248866271653,20.0,7.0,0.0904467788415148,28.0,3.0,0.011031841175457531,35.0,5.0,0.3009850466670179,23.0,7.0,0.1359465378438453,5.0,4.0
0.9098132477235207,35.0,0.001,1.0,0.1292646680246326,35.0,6.0,0.07701173014743551,27.0,1.0,0.0,32.0,6.0,0.13961181489729987,23.0,7.0,0.13701471831983028,33.0,8.0
0.9352801399360489,28.0,0.001,1.0,0.14648027522113666,29.0,6.0,0.061823841249279636,27.0,1.0,0.01718821527432175,20.0,6.0,0.1484149891194993,23.0,4.0,0.11439136178591673,33.0,4.0
0.9278777466362725,36.0,0.002526596278633075,1.0,0.13521195338029393,35.0,6.0,0.08421225394809759,26.0,0.0,0.0056396778260778355,34.0,6.0,0.09201963968095306,22.0,5.0,0.13848001076356573,5.0,4.0
0.9107640067911715,32.0,0.004562057983477174,1.0,0.1861772347527854,35.0,6.0,0.10462990481349224,20.0,0.0,0.0796685535263518,35.0,6.0,0.1528286592268395,24.0,7.0,0.14355594024042292,34.0,6.0
0.9322920378582182,33.0,0.006088654262110249,1.0,0.11371273808298747,21.0,6.0,0.10462990481349224,23.0,0.0,0.09331101503098138,30.0,6.0,0.08269208708192881,20.0,3.0,0.1454022305715503,29.0,7.0
0.8474703016629244,33.0,0.006088654262110249,1.0,0.11000818428127322,32.0,6.0,0.10621901167001632,24.0,1.0,0.057294050914405835,35.0,5.0,0.09598469297981496,24.0,3.0,0.14044237733974352,35.0,5.0
0.916196947522803,28.0,0.001,1.0,0.14333835881543427,33.0,6.0,0.08824276855632136,29.0,9.0,0.02049776762695901,21.0,6.0,0.12556412124609298,22.0,4.0,0.1200276095712918,25.0,4.0
