x_vel_set y_vel_set angular_vel_set motor_state_0 motor_state_1 motor_state_2 motor_state_3 motor_state_4 motor_state_5 motor_state_6 motor_state_7 motor_state_8 motor_state_9 motor_state_10 motor_state_11 ground_colision_0 ground_colision_1 ground_colision_2 ground_colision_3 orientation_quaternion_x orientation_quaternion_y orientation_quaternion_z orientation_quaternion_w angular_vel_x angular_vel_y angular_vel_z linear_acceleration_x linear_acceleration_y linear_acceleration_z linear_velocity_x linear_velocity_y linear_velocity_z action_0 action_1 action_2 action_3 action_4 action_5 action_6 action_7 action_8 action_9 action_10 action_11
0.013000 0.009000 0.000000 -0.081391 0.201718 -0.092476 -0.135685 0.201188 -0.146790 -0.172845 0.160901 -0.127572 -0.192874 0.182330 -0.127075 1 1 1 1 0.002327 0.000513 0.112296 0.993672 0.006861 0.044692 0.132825 0.027832 -0.018367 -1.347072 -0.000208 -0.004345 0.000000 -7.870540 10.307073 -9.498769 -7.327091 9.661715 -9.267253 -10.718541 9.095334 -9.383430 -9.525728 10.573578 -8.175487
0.013000 0.009000 0.000000 -0.155690 0.137464 -0.154199 -0.134530 0.195731 -0.142681 -0.113137 0.207568 -0.130109 -0.159060 0.219703 -0.101455 1 1 1 1 0.002382 0.000449 0.116858 0.993146 -0.012320 -0.038966 0.214165 -0.036780 0.052155 -0.958530 0.009683 -0.000764 0.000000 -8.949093 10.757015 -10.237411 -8.068990 10.152161 -9.983756 -11.621716 9.612562 -10.128706 -10.162010 11.017766 -8.955417
0.013000 0.009000 0.000000 -0.135351 0.193423 -0.134261 -0.136138 0.226102 -0.202301 -0.149036 0.238780 -0.190575 -0.186506 0.262470 -0.088609 1 1 1 1 0.002429 0.000337 0.121507 0.992588 0.014401 0.019814 0.187955 0.169316 0.059147 1.662139 -0.023410 -0.004440 0.000000 -10.027646 11.206958 -10.976054 -8.810890 10.642607 -10.700258 -12.524890 10.129790 -10.873983 -10.798291 11.461955 -9.735348
0.013000 0.009000 0.000000 -0.131164 0.311212 -0.140814 -0.128336 0.242642 -0.167125 -0.260625 0.253164 -0.165326 -0.168346 0.297309 -0.146877 1 1 1 1 0.002452 0.000227 0.126016 0.992025 -0.048174 -0.077605 0.247785 0.048729 0.288602 -1.002240 -0.003093 0.003827 0.000000 -11.106198 11.656900 -11.714696 -9.552790 11.133053 -11.416761 -13.428065 10.647018 -11.619259 -11.434573 11.906143 -10.515279
0.013000 0.009000 0.000000 -0.121823 0.308069 -0.188148 -0.167689 0.221122 -0.173481 -0.204824 0.223070 -0.249710 -0.203482 0.250223 -0.173155 1 1 1 1 0.002582 0.000112 0.131256 0.991345 -0.011169 -0.049733 0.732796 -0.038753 0.234591 -1.373002 -0.002891 -0.007011 0.000000 -12.184751 12.106843 -12.453338 -10.294690 11.623500 -12.133264 -14.331240 11.164246 -12.364536 -12.070855 12.350331 -11.295210
0.013000 0.009000 0.000000 -0.186119 0.203930 -0.268390 -0.193078 0.315435 -0.222337 -0.210898 0.263203 -0.197524 -0.169454 0.221092 -0.172305 1 1 1 1 0.002640 -0.000024 0.136433 0.990646 0.028853 0.014740 0.043273 -0.104195 -0.043563 1.467592 0.010349 -0.009270 0.000000 -13.263304 12.556786 -13.191980 -11.036589 12.113946 -12.849766 -15.234415 11.681475 -13.109813 -12.707136 12.794519 -12.075141
0.013000 0.009000 0.000000 -0.197795 0.310632 -0.212825 -0.229296 0.270044 -0.136806 -0.234753 0.244343 -0.197140 -0.172777 0.282464 -0.140533 1 1 1 1 0.002738 -0.000030 0.140269 0.990110 0.035280 0.022703 0.194097 0.160361 -0.338300 0.944489 0.000373 0.016953 0.000000 -14.341856 13.006728 -13.930622 -11.778489 12.604392 -13.566269 -16.137590 12.198703 -13.855089 -13.343418 13.238707 -12.855072
0.013000 0.009000 0.000000 -0.147858 0.279961 -0.211160 -0.200173 0.219970 -0.242336 -0.213966 0.302876 -0.186829 -0.254370 0.270316 -0.197568 1 1 1 1 0.002603 -0.000130 0.144806 0.989457 0.005698 -0.064011 0.165493 -0.191644 0.279293 -1.189078 -0.015829 -0.014774 0.000000 -15.420409 13.456671 -14.669264 -12.520389 13.094839 -14.282772 -17.040765 12.715931 -14.600366 -13.979699 13.682895 -13.635002
0.013000 0.009000 0.000000 -0.204229 0.294966 -0.193063 -0.211278 0.322720 -0.148140 -0.191133 0.242972 -0.166972 -0.261384 0.297872 -0.167080 1 1 1 1 0.002538 -0.000167 0.149470 0.988763 0.014261 0.012740 0.157038 -0.510476 -0.018334 0.272344 0.003851 0.001931 0.000000 -16.498962 13.906613 -15.407907 -13.262288 13.585285 -14.999275 -17.943940 13.233159 -15.345642 -14.615981 14.127083 -14.414933
0.013000 0.009000 0.000000 -0.217710 0.374318 -0.212321 -0.229391 0.276239 -0.250062 -0.302768 0.310940 -0.217110 -0.284843 0.311303 -0.192578 1 1 1 1 0.002669 -0.000230 0.154062 0.988057 -0.017394 0.031445 0.133743 -0.057531 -0.051699 -1.045099 -0.007010 0.029211 0.000000 -17.577515 14.356556 -16.146549 -14.004188 14.075731 -15.715777 -18.847115 13.750388 -16.090919 -15.252263 14.571271 -15.194864
0.013000 0.009000 0.000000 -0.245557 0.353064 -0.264873 -0.259384 0.327749 -0.201891 -0.271938 0.284053 -0.232292 -0.243190 0.310798 -0.245888 1 1 1 1 0.002800 -0.000322 0.159666 0.987167 -0.008685 -0.017343 0.065840 0.045334 -0.108298 0.920309 -0.020514 0.002573 0.000000 -18.656067 14.806498 -16.885191 -14.746088 14.566178 -16.432280 -19.750290 14.267616 -16.836196 -15.888544 15.015459 -15.974795
